Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Aleksandar Pavlovic,de Bundesliga,de GER,20.0,MF,Bayern Munich,0.06,0.0,0.03,0.01
Nicolas Pays,fr Ligue 1,fr FRA,20.0,"FW,MF",Montpellier,0.0,0.0,0.27,0.03
Nicolás Paz,it Serie A,ar ARG,19.0,"MF,FW",Como,0.2,0.27,0.31,0.2
Pedri,es La Liga,es ESP,21.0,MF,Barcelona,0.13,0.16,0.07,0.23
Kévin Pedro,fr Ligue 1,fr FRA,18.0,DF,Saint-Étienne,0.0,0.0,0.0,0.0
Timothee Pembele,fr Ligue 1,fr FRA,21.0,DF,Le Havre,0.08,0.0,0.1,0.01
Peque,es La Liga,es ESP,21.0,"MF,FW",Sevilla,0.08,0.08,0.2,0.1
Sergiu Perciun,it Serie A,md MDA,18.0,"FW,MF",Torino,0.0,0.0,0.03,0.08
Óscar Perea,fr Ligue 1,co COL,18.0,"MF,DF",Strasbourg,0.0,0.0,0.09,0.0
Francisco Perez,es La Liga,es ESP,21.0,"FW,MF",Valencia,0.0,0.0,0.05,0.4
Máximo Perrone,it Serie A,ar ARG,21.0,MF,Como,0.0,0.15,0.04,0.11
Noah Pesch,de Bundesliga,hr CRO,19.0,FW,Gladbach,0.0,0.0,0.0,0.0
Prosper Peter,fr Ligue 1,ng NGA,16.0,"MF,FW",Angers,0.0,0.0,0.0,0.0
Valentín Pezzolesi,es La Liga,es ESP,17.0,DF,Las Palmas,0.0,0.0,0.0,0.0
Yeremi Pino,es La Liga,es ESP,21.0,"MF,FW",Villarreal,0.19,0.33,0.18,0.25
Nicola Pintus,it Serie A,it ITA,19.0,DF,Cagliari,0.0,0.0,0.0,0.0
Niccolò Pisilli,it Serie A,it ITA,19.0,MF,Roma,0.15,0.07,0.2,0.05
Damián Pizarro,it Serie A,cl CHI,19.0,"FW,MF",Udinese,0.0,0.0,0.0,0.0
Alfie Pond,eng Premier League,eng ENG,20.0,DF,Wolves,0.0,0.0,0.0,0.0
Tom Pouilly,fr Ligue 1,fr FRA,21.0,"DF,MF",Lens,0.0,0.0,0.14,0.15
Matteo Prati,it Serie A,it ITA,20.0,MF,Cagliari,0.0,0.0,0.02,0.11
David Preu,de Bundesliga,de GER,19.0,"MF,DF",Union Berlin,0.0,0.0,0.1,0.0
Diego Pugno,it Serie A,it ITA,18.0,FW,Juventus,0.0,0.0,0.0,0.76
Jarell Quansah,eng Premier League,eng ENG,21.0,DF,Liverpool,0.0,0.0,0.02,0.02
Leopold Querfeld,de Bundesliga,at AUT,20.0,DF,Union Berlin,0.1,0.1,0.06,0.05
Arnau Rafús,es La Liga,es ESP,21.0,GK,Valladolid,0.0,0.0,0.0,0.0
Antonio Raimondo,it Serie A,it ITA,20.0,"FW,DF",Venezia,0.0,0.0,0.31,0.09
Jacobo Ramón,es La Liga,es ESP,19.0,DF,Real Madrid,0.44,0.0,0.07,0.09
Grant Ranos,de Bundesliga,am ARM,21.0,FW,Gladbach,0.0,0.0,0.0,0.0
Remy Rees-Dottin,eng Premier League,eng ENG,18.0,FW,Bournemouth,0.0,0.0,0.0,0.0
Vitor Reis,eng Premier League,br BRA,18.0,DF,Manchester City,0.0,0.0,0.0,0.0
Devyne Rensch,it Serie A,nl NED,21.0,DF,Roma,0.0,0.19,0.05,0.15
Daniel Requena,es La Liga,es ESP,20.0,MF,Villarreal,0.0,0.0,0.0,0.0
Guillaume Restes,fr Ligue 1,fr FRA,19.0,GK,Toulouse,0.0,0.04,0.0,0.0
Gio Reyna,de Bundesliga,us USA,21.0,MF,Dortmund,0.51,0.0,0.04,0.06
Chadi Riad,eng Premier League,ma MAR,21.0,DF,Crystal Palace,0.0,0.0,0.0,0.0
Alberto Risco,es La Liga,es ESP,18.0,"MF,FW",Getafe,0.0,0.0,0.22,0.19
Gorka Rivera Alonso,es La Liga,es ESP,19.0,"DF,MF",Getafe,0.0,0.0,0.0,0.0
Jay Robinson,eng Premier League,eng ENG,17.0,"MF,FW",Southampton,0.0,0.0,0.03,0.44
Alejandro Rodriguez,fr Ligue 1,pt POR,16.0,MF,Lyon,0.0,0.0,0.0,0.0
Álvaro Rodríguez,es La Liga,uy URU,20.0,FW,Getafe,0.21,0.0,0.13,0.03
Arturo Rodríguez,es La Liga,es ESP,17.0,FW,Las Palmas,0.0,0.0,0.0,0.0
Damián Rodríguez,es La Liga,es ESP,21.0,MF,Celta Vigo,0.0,0.0,0.01,0.08
Daniel Rodriguez,es La Liga,es ESP,18.0,FW,Barcelona,0.0,0.0,0.06,0.0
Javi Rodríguez,es La Liga,es ESP,21.0,DF,Celta Vigo,0.11,0.07,0.08,0.04
Jesus Rodríguez,es La Liga,es ESP,18.0,FW,Betis,0.16,0.0,0.18,0.02
Luka Romero,es La Liga,ar ARG,19.0,"FW,MF",Alavés,0.0,0.0,0.37,0.08
Vitor Roque,es La Liga,br BRA,19.0,FW,Betis,0.29,0.0,0.44,0.09
Max Rosenfelder,de Bundesliga,de GER,21.0,DF,Freiburg,0.07,0.0,0.03,0.05
Tom Rothe,de Bundesliga,de GER,19.0,"DF,MF",Union Berlin,0.16,0.16,0.1,0.07
Jonas Rouhi,it Serie A,se SWE,20.0,DF,Juventus,0.0,0.0,0.0,0.0
Jon Rowe,fr Ligue 1,eng ENG,21.0,"FW,MF",Marseille,0.33,0.33,0.39,0.5
Tommaso Rubino,it Serie A,it ITA,17.0,MF,Fiorentina,0.0,0.0,0.0,0.53
Ferrán Ruiz,es La Liga,es ESP,21.0,MF,Girona,0.0,0.0,0.0,0.0
Richie Sagrado,it Serie A,be BEL,20.0,DF,Venezia,0.0,0.0,0.03,0.0
Faik Sakar,de Bundesliga,de GER,16.0,MF,RB Leipzig,0.0,0.0,0.0,0.0
Jan Salas,es La Liga,es ESP,18.0,"MF,FW",Mallorca,0.0,0.0,0.12,0.0
Chuky san jose,es La Liga,es ESP,20.0,MF,Valladolid,0.25,0.0,0.28,0.15
Juanlu Sánchez,es La Liga,es ESP,20.0,"MF,DF",Sevilla,0.21,0.21,0.11,0.15
Nhoa Sangui,fr Ligue 1,fr FRA,18.0,"DF,MF",Reims,0.0,0.16,0.01,0.04
Jesús Santiago,es La Liga,es ESP,20.0,MF,Getafe,0.0,0.0,0.01,0.0
Andrey Santos,fr Ligue 1,br BRA,20.0,MF,Strasbourg,0.32,0.09,0.16,0.1
Kauã Santos,de Bundesliga,br BRA,21.0,GK,Eint Frankfurt,0.0,0.0,0.0,0.0
Mamadou Sarr,fr Ligue 1,fr FRA,18.0,DF,Strasbourg,0.0,0.04,0.03,0.01
Sávio,eng Premier League,br BRA,20.0,"FW,MF",Manchester City,0.05,0.41,0.26,0.35
Nicolò Savona,it Serie A,it ITA,21.0,DF,Juventus,0.1,0.05,0.02,0.06
Joe Scally,de Bundesliga,us USA,21.0,DF,Gladbach,0.0,0.0,0.01,0.04
Giorgio Scalvini,it Serie A,it ITA,20.0,DF,Atalanta,0.0,0.0,0.05,0.0
Oliver Scarles,eng Premier League,eng ENG,18.0,"DF,FW",West Ham,0.0,0.0,0.01,0.01
Dane Scarlett,eng Premier League,eng ENG,20.0,"FW,MF",Tottenham,0.0,2.65,0.09,0.12
Joël Schingtienne,it Serie A,be BEL,21.0,DF,Venezia,0.0,0.0,0.0,0.01
Alex Scott,eng Premier League,eng ENG,20.0,MF,Bournemouth,0.0,0.0,0.09,0.11
Jérémy Sebas,fr Ligue 1,mq MTQ,21.0,"FW,MF",Strasbourg,0.0,0.0,0.35,0.01
Jacopo Seghetti,it Serie A,it ITA,19.0,GK,Empoli,0.0,0.0,0.0,0.0
Hiroki Sekine,fr Ligue 1,jp JPN,21.0,DF,Reims,0.0,0.0,0.01,0.02
Nicolás Serrano,es La Liga,es ESP,21.0,FW,Athletic Club,0.0,0.0,0.13,0.02
Benjamin Šeško,de Bundesliga,si SVN,21.0,"FW,MF",RB Leipzig,0.49,0.19,0.38,0.08
Armindo Sieb,de Bundesliga,de GER,21.0,"FW,MF",Mainz 05,0.24,0.24,0.33,0.13
Zain Silcott-Duberry,eng Premier League,ms MSR,19.0,FW,Bournemouth,0.0,0.0,0.0,0.0
Eric da Silva Moreira,eng Premier League,de GER,18.0,"MF,DF",Nott'ham Forest,0.0,0.0,0.0,0.0
Giuliano Simeone,es La Liga,ar ARG,21.0,MF,Atlético Madrid,0.09,0.28,0.1,0.24
Xavi Simons,de Bundesliga,nl NED,21.0,MF,RB Leipzig,0.42,0.25,0.21,0.26
Jahmai Simpson-Pusey,eng Premier League,eng ENG,18.0,DF,Manchester City,0.0,0.0,0.0,0.0
Ayanda Sishuba,fr Ligue 1,be BEL,19.0,FW,Rennes,0.0,0.0,0.0,0.0
Niama Sissoko,fr Ligue 1,ml MLI,18.0,"FW,MF",Reims,0.0,0.0,0.54,0.0
Justin Smith,es La Liga,ca CAN,21.0,MF,Espanyol,0.0,0.0,0.0,0.02
Arnau Solà,es La Liga,es ESP,21.0,MF,Villarreal,0.0,0.0,0.0,0.0
Julio Soler,eng Premier League,ar ARG,19.0,"DF,FW",Bournemouth,0.0,0.0,0.0,0.0
Jhon Solis,es La Liga,co COL,19.0,MF,Girona,0.17,0.0,0.11,0.01
Hugo Sotelo,es La Liga,es ESP,20.0,MF,Celta Vigo,0.0,0.0,0.01,0.12
Matìas Soulé,it Serie A,ar ARG,21.0,"MF,DF",Roma,0.25,0.25,0.15,0.26
Jay Stansfield,eng Premier League,eng ENG,21.0,MF,Fulham,0.0,0.0,0.0,0.0
Lucas Stassin,fr Ligue 1,be BEL,19.0,FW,Saint-Étienne,0.57,0.19,0.35,0.17
Orri Steinn Óskarsson,es La Liga,is ISL,19.0,FW,Real Sociedad,0.29,0.0,0.5,0.02
Enzo Sternal,fr Ligue 1,fr FRA,17.0,"FW,MF",Marseille,0.0,0.0,0.0,0.09
Finley Stevens,de Bundesliga,wls WAL,21.0,DF,St. Pauli,0.0,0.0,0.0,0.0
Luka Sučić,es La Liga,hr CRO,21.0,MF,Real Sociedad,0.05,0.05,0.17,0.13
Ibrahim Sulemana,it Serie A,gh GHA,21.0,MF,Atalanta,0.64,0.0,0.18,0.01
Zion Suzuki,it Serie A,jp JPN,21.0,GK,Parma,0.0,0.0,0.0,0.0
Williot Swedberg,es La Liga,se SWE,20.0,"FW,MF",Celta Vigo,0.27,0.33,0.35,0.17
Abakar Sylla,fr Ligue 1,ci CIV,21.0,DF,Strasbourg,0.09,0.0,0.04,0.01
Axel Tapé,fr Ligue 1,fr FRA,16.0,"DF,MF",Paris S-G,0.0,0.0,0.02,0.0
Loum Tchaouna,it Serie A,fr FRA,20.0,"FW,MF",Lazio,0.14,0.0,0.34,0.08
Enzo Tchato,fr Ligue 1,cm CMR,21.0,DF,Montpellier,0.0,0.0,0.01,0.07
Martín Tejón,es La Liga,es ESP,20.0,"MF,DF",Valencia,0.0,0.0,0.16,0.05
Mathys Tel,eng Premier League,fr FRA,19.0,FW,Tottenham,0.2,0.1,0.29,0.25
Mathys Tel,de Bundesliga,fr FRA,19.0,"FW,MF",Bayern Munich,0.0,0.35,0.26,0.1
Filippo Terracciano,it Serie A,it ITA,21.0,"DF,MF",Milan,0.0,0.0,0.03,0.02
Umut Tohumcu,de Bundesliga,de GER,19.0,"MF,FW",Hoffenheim,0.0,0.24,0.03,0.09
Luka Topalović,it Serie A,si SVN,18.0,MF,Inter,0.0,0.0,0.0,0.0
Pablo Torre,es La Liga,es ESP,21.0,"MF,FW",Barcelona,0.87,0.29,0.11,0.23
David Torres,es La Liga,es ESP,21.0,DF,Valladolid,0.0,0.0,0.02,0.0
Lorenzo Tosto,it Serie A,it ITA,18.0,DF,Empoli,0.0,0.0,0.0,0.0
Bazoumana Touré,de Bundesliga,ci CIV,18.0,"FW,MF",Hoffenheim,0.0,0.44,0.21,0.28
Ousmane Toure,fr Ligue 1,fr FRA,19.0,DF,Lille,0.0,0.0,0.0,0.0
Souleymane Touré,it Serie A,fr FRA,21.0,DF,Udinese,0.12,0.0,0.05,0.01
Ryan Trevitt,eng Premier League,eng ENG,21.0,MF,Brentford,0.0,0.0,0.0,0.0
Christantus Uche,es La Liga,ng NGA,21.0,"FW,MF",Getafe,0.14,0.22,0.14,0.1
Destiny Udogie,eng Premier League,it ITA,21.0,DF,Tottenham,0.0,0.05,0.01,0.07
Lesley Ugochukwu,eng Premier League,fr FRA,20.0,MF,Southampton,0.05,0.05,0.05,0.06
Lukas Ullrich,de Bundesliga,de GER,20.0,DF,Gladbach,0.05,0.09,0.04,0.09
Naci Ünüvar,es La Liga,nl NED,21.0,"MF,DF",Espanyol,0.0,0.0,0.14,0.09
Kacper Urbanski,it Serie A,pl POL,19.0,MF,Bologna,0.36,0.0,0.12,0.17
Kacper Urbanski,it Serie A,pl POL,19.0,MF,Monza,0.0,0.0,0.03,0.03
Jonas Urbig,de Bundesliga,de GER,20.0,GK,Bayern Munich,0.0,0.0,0.0,0.0
Can Uzun,de Bundesliga,tr TUR,18.0,"MF,FW",Eint Frankfurt,0.53,0.13,0.4,0.15
Álex Valle,it Serie A,es ESP,20.0,DF,Como,0.0,0.0,0.03,0.06
Robinio Vaz,fr Ligue 1,fr FRA,17.0,FW,Marseille,0.0,0.0,0.61,0.0
Jesus Vazquez,es La Liga,es ESP,21.0,DF,Valencia,0.0,0.0,0.01,0.06
Danilo Veiga,it Serie A,pt POR,21.0,DF,Lecce,0.0,0.0,0.15,0.06
Renato Veiga,eng Premier League,pt POR,21.0,"DF,MF",Chelsea,0.0,0.0,0.07,0.0
Renato Veiga,it Serie A,pt POR,21.0,DF,Juventus,0.0,0.08,0.08,0.0
Alejo Véliz,es La Liga,ar ARG,20.0,FW,Espanyol,0.08,0.0,0.18,0.04
Lorenzo Venturino,it Serie A,it ITA,18.0,"FW,MF",Genoa,1.08,0.0,0.39,0.1
Nikolas Veratschnig,de Bundesliga,at AUT,21.0,"DF,MF",Mainz 05,0.0,0.0,0.06,0.08
Bart Verbruggen,eng Premier League,nl NED,21.0,GK,Brighton,0.0,0.03,0.0,0.0
Arthur Vermeeren,de Bundesliga,be BEL,19.0,MF,RB Leipzig,0.0,0.11,0.02,0.05
Ben Viadere,fr Ligue 1,fr FRA,18.0,MF,Auxerre,0.0,0.0,0.0,0.85
Gabriel Vidovic,de Bundesliga,hr CRO,20.0,MF,Mainz 05,0.0,0.0,1.17,0.0
Gabriel Vidovic,de Bundesliga,hr CRO,20.0,MF,Bayern Munich,0.0,0.0,0.41,0.0
Sergio Viera,es La Liga,es ESP,19.0,MF,Las Palmas,0.0,0.0,0.02,0.0
Samuele Vignato,it Serie A,it ITA,20.0,MF,Monza,0.0,0.0,0.06,0.01
Krapyvtsov Vladyslav,es La Liga,ua UKR,19.0,GK,Girona,0.0,0.0,0.0,0.0
Vanja Vlahović,it Serie A,rs SRB,20.0,"FW,MF",Atalanta,0.0,0.0,0.23,0.15
Aster Vranckx,de Bundesliga,be BEL,21.0,MF,Wolfsburg,0.0,0.0,0.0,0.01
Robert Wagner,de Bundesliga,de GER,21.0,MF,St. Pauli,0.0,0.0,0.02,0.0
Elye Wahi,fr Ligue 1,fr FRA,21.0,FW,Marseille,0.47,0.16,0.94,0.07
Elye Wahi,de Bundesliga,fr FRA,21.0,"FW,MF",Eint Frankfurt,0.0,0.0,0.58,0.04
Paul Wanner,de Bundesliga,de GER,18.0,"MF,FW",Heidenheim,0.15,0.1,0.19,0.06
Kjell-Arik Wätjen,de Bundesliga,de GER,18.0,MF,Dortmund,0.0,0.0,0.0,0.0
Nelson Weiper,de Bundesliga,de GER,19.0,"FW,MF",Mainz 05,0.38,0.26,0.52,0.25
Adam Wharton,eng Premier League,eng ENG,20.0,MF,Crystal Palace,0.0,0.14,0.03,0.21
Caleb Wiley,fr Ligue 1,us USA,19.0,"DF,MF",Strasbourg,0.0,0.34,0.01,0.23
Ben Winterburn,eng Premier League,eng ENG,19.0,"MF,FW",Bournemouth,0.0,0.0,0.0,0.0
Florian Wirtz,de Bundesliga,de GER,21.0,"MF,FW",Leverkusen,0.38,0.46,0.36,0.27
Lamine Yamal,es La Liga,es ESP,17.0,FW,Barcelona,0.28,0.41,0.31,0.44
Daniel Yáñez,es La Liga,es ESP,17.0,FW,Real Madrid,0.0,0.0,0.0,0.0
Yehor Yarmoliuk,eng Premier League,ua UKR,20.0,MF,Brentford,0.0,0.0,0.04,0.05
Kenan Yıldız,it Serie A,tr TUR,19.0,"FW,MF",Juventus,0.26,0.15,0.16,0.19
Leny Yoro,eng Premier League,fr FRA,18.0,DF,Manchester Utd,0.0,0.0,0.05,0.01
Illia Zabarnyi,eng Premier League,ua UKR,21.0,DF,Bournemouth,0.0,0.03,0.04,0.02
Eloge Zabi,fr Ligue 1,ci CIV,17.0,"DF,MF",Reims,0.0,0.0,0.0,0.0
Yoram Zague,fr Ligue 1,fr FRA,18.0,"DF,FW",Paris S-G,0.0,0.0,0.02,0.03
Warren Zaïre-Emery,fr Ligue 1,fr FRA,18.0,"MF,DF",Paris S-G,0.04,0.09,0.07,0.06
Arsen Zakharyan,es La Liga,ru RUS,21.0,"MF,FW",Real Sociedad,1.23,0.0,0.24,0.12
Kevin Zeroli,it Serie A,it ITA,19.0,MF,Monza,0.0,0.23,0.17,0.11
Kevin Zeroli,it Serie A,it ITA,19.0,MF,Milan,0.0,0.0,0.0,0.0
Nathan Zeze,fr Ligue 1,fr FRA,19.0,DF,Nantes,0.0,0.0,0.02,0.0
Luc Zogbé,fr Ligue 1,ci CIV,19.0,DF,Brest,0.0,0.0,0.04,0.02
Aristide Zossou,fr Ligue 1,ci CIV,19.0,MF,Auxerre,0.0,0.0,0.0,0.0
Edhy Zuliani,fr Ligue 1,fr FRA,19.0,DF,Toulouse,0.0,0.0,0.0,0.0
