Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Ayyoub Bouaddi,fr Ligue 1,fr FRA,16.0,MF,Lille,0.0,0.08,0.01,0.08
Badredine Bouanani,fr Ligue 1,dz ALG,19.0,"MF,FW",Nice,0.25,0.25,0.22,0.19
Justin Bourgault,fr Ligue 1,fr FRA,18.0,DF,Brest,0.74,0.0,0.05,0.1
Conor Bradley,eng Premier League,nir NIR,21.0,DF,Liverpool,0.0,0.24,0.08,0.17
Iker Bravo,it Serie A,es ESP,19.0,"FW,MF",Udinese,0.26,0.13,0.12,0.06
Nathaniel Brown,de Bundesliga,de GER,21.0,"DF,MF",Eint Frankfurt,0.14,0.28,0.1,0.24
Manu Bueno,es La Liga,es ESP,20.0,"MF,FW",Sevilla,0.64,0.0,0.08,0.0
Endika Buján,es La Liga,es ESP,21.0,FW,Athletic Club,0.0,0.0,0.0,0.0
Facundo Buonanotte,eng Premier League,ar ARG,19.0,"FW,MF",Leicester City,0.3,0.12,0.23,0.18
Rareș-Cătălin Burnete,it Serie A,ro ROU,20.0,FW,Lecce,0.0,0.0,0.25,0.0
Nathan Butler-Oyedeji,eng Premier League,eng ENG,21.0,FW,Arsenal,0.0,0.0,0.94,0.0
Pau Cabanes,es La Liga,es ESP,19.0,"MF,FW",Villarreal,0.55,0.0,0.26,0.22
Pau Cabanes,es La Liga,es ESP,19.0,"MF,FW",Alavés,0.0,0.0,0.02,0.01
Alessio Cacciamani,it Serie A,it ITA,17.0,"MF,DF",Torino,0.0,0.0,0.0,0.0
Issiaga Camara,fr Ligue 1,gn GUI,19.0,MF,Nice,0.0,0.0,0.0,0.0
Lamine Camara,fr Ligue 1,sn SEN,20.0,MF,Monaco,0.09,0.31,0.1,0.19
Ousmane Camara,fr Ligue 1,fr FRA,21.0,DF,Angers,0.0,0.0,0.03,0.01
Francesco Camarda,it Serie A,it ITA,16.0,"FW,MF",Milan,0.0,0.0,0.25,0.23
Eduardo Camavinga,es La Liga,fr FRA,21.0,"MF,DF",Real Madrid,0.08,0.16,0.04,0.06
Axel Camblan,fr Ligue 1,fr FRA,20.0,"MF,FW",Brest,0.0,0.0,0.17,0.0
Thomas Campaniello,it Serie A,it ITA,16.0,FW,Empoli,0.0,0.0,1.83,0.0
Cole Campbell,de Bundesliga,us USA,18.0,"MF,FW",Dortmund,0.0,0.0,0.0,0.0
Peio Canales,es La Liga,es ESP,19.0,"MF,FW",Athletic Club,0.0,0.0,0.07,0.08
Jaydee Canvot,fr Ligue 1,fr FRA,18.0,"DF,MF",Toulouse,0.0,0.0,0.02,0.06
Gabin Capuano,fr Ligue 1,fr FRA,18.0,FW,Lens,0.0,0.0,0.0,0.0
Simon Cara,fr Ligue 1,fr FRA,19.0,"MF,FW",Montpellier,0.0,0.0,0.0,0.0
Franco Carboni,it Serie A,it ITA,21.0,DF,Venezia,0.0,0.0,0.0,0.03
Valentin Carboni,fr Ligue 1,ar ARG,19.0,"MF,FW",Marseille,0.0,0.0,0.04,0.1
Tiago Cardoso,de Bundesliga,lu LUX,18.0,GK,Gladbach,0.0,0.0,0.0,0.0
José Carlos González,es La Liga,es ESP,18.0,DF,Las Palmas,0.0,0.0,0.0,0.0
Fabio Carvalho,eng Premier League,pt POR,21.0,"FW,MF",Brentford,0.4,0.2,0.49,0.13
Cesare Casadei,it Serie A,it ITA,21.0,MF,Torino,0.09,0.09,0.1,0.03
Marc Casado,es La Liga,es ESP,20.0,MF,Barcelona,0.06,0.17,0.06,0.08
Kaelan Casey,eng Premier League,eng ENG,19.0,DF,West Ham,0.0,0.0,0.0,0.0
Federico Cassa,it Serie A,it ITA,18.0,"MF,FW",Atalanta,0.0,0.0,0.0,0.0
Santiago Castro,it Serie A,ar ARG,19.0,FW,Bologna,0.31,0.16,0.3,0.11
Enzo Caumont,fr Ligue 1,fr FRA,20.0,MF,Angers,0.0,0.0,0.0,0.0
Abdoulie Ceesay,de Bundesliga,gm GAM,20.0,FW,St. Pauli,0.0,0.0,0.0,0.03
El Chadaille Bitshiabu,de Bundesliga,fr FRA,19.0,DF,RB Leipzig,0.0,0.0,0.02,0.03
Fares Chaïbi,de Bundesliga,dz ALG,21.0,"MF,FW",Eint Frankfurt,0.09,0.27,0.23,0.26
Raúl Chasco,es La Liga,es ESP,20.0,DF,Valladolid,0.0,0.0,0.0,0.02
Anrie Chase,de Bundesliga,jp JPN,20.0,DF,Stuttgart,0.0,0.0,0.02,0.0
Chema,es La Liga,es ESP,19.0,MF,Real Madrid,0.0,0.0,0.0,0.0
Théo Chennahi,fr Ligue 1,fr FRA,19.0,DF,Montpellier,0.0,0.0,0.08,0.01
Sidiki Cherif,fr Ligue 1,fr FRA,17.0,FW,Angers,0.0,0.0,0.2,0.05
Rayan Cherki,fr Ligue 1,fr FRA,20.0,"FW,MF",Lyon,0.35,0.49,0.22,0.49
Youssef Chermiti,eng Premier League,pt POR,20.0,"FW,MF",Everton,0.0,0.0,0.22,0.0
Fabio Chiarodia,de Bundesliga,it ITA,19.0,DF,Gladbach,0.24,0.0,0.07,0.1
Carney Chukwuemeka,de Bundesliga,eng ENG,20.0,MF,Dortmund,0.36,0.0,0.21,0.32
Aaron Ciammaglichella,it Serie A,it ITA,19.0,MF,Torino,0.0,0.0,0.0,0.0
Alessandro Circati,it Serie A,au AUS,20.0,DF,Parma,0.0,0.0,0.05,0.0
Alphadjo Cissè,it Serie A,it ITA,17.0,"FW,MF",Hellas Verona,0.0,0.0,0.46,0.0
Djaoui Cissé,fr Ligue 1,fr FRA,20.0,MF,Rennes,0.08,0.0,0.03,0.02
Yoann Cissé,fr Ligue 1,fr FRA,19.0,MF,Auxerre,0.0,0.0,0.0,0.0
Silvi Clúa,es La Liga,es ESP,19.0,MF,Girona,0.0,0.0,0.02,0.02
Nnamdi Collins,de Bundesliga,de GER,20.0,DF,Eint Frankfurt,0.06,0.06,0.05,0.06
Toby Collyer,eng Premier League,eng ENG,20.0,MF,Manchester Utd,0.0,0.0,0.09,0.13
Levi Colwill,eng Premier League,eng ENG,21.0,DF,Chelsea,0.06,0.03,0.05,0.03
Pietro Comuzzo,it Serie A,it ITA,19.0,DF,Fiorentina,0.04,0.0,0.02,0.02
Francisco Conceição,it Serie A,pt POR,21.0,"FW,MF",Juventus,0.2,0.2,0.16,0.29
Diego Coppola,it Serie A,it ITA,20.0,DF,Hellas Verona,0.06,0.0,0.02,0.0
Iker Córdoba,es La Liga,es ESP,18.0,DF,Valencia,0.0,0.0,0.0,0.45
Alberto costa,it Serie A,pt POR,20.0,DF,Juventus,0.0,0.25,0.15,0.05
Lasso Coulibaly,fr Ligue 1,ci CIV,21.0,"FW,MF",Auxerre,2.0,0.0,0.56,0.13
Mamadou Coulibaly,fr Ligue 1,fr FRA,20.0,MF,Monaco,0.0,0.0,0.85,0.0
Soumaïla Coulibaly,fr Ligue 1,fr FRA,20.0,DF,Brest,0.0,0.0,0.03,0.02
Marius Courcoul,fr Ligue 1,fr FRA,17.0,"MF,DF",Angers,0.0,0.0,0.03,0.01
Charlie Cresswell,fr Ligue 1,eng ENG,21.0,DF,Toulouse,0.1,0.03,0.11,0.06
Pau Cubarsí,es La Liga,es ESP,17.0,DF,Barcelona,0.0,0.1,0.03,0.06
Maat Daniel Caprini,it Serie A,it ITA,18.0,FW,Fiorentina,0.0,0.0,0.0,0.0
Jayden Danns,eng Premier League,eng ENG,18.0,MF,Liverpool,0.0,0.0,0.0,0.0
Kévin Danois,fr Ligue 1,fr FRA,20.0,MF,Auxerre,0.0,0.0,0.09,0.13
Bence Dárdai,de Bundesliga,hu HUN,18.0,MF,Wolfsburg,0.07,0.07,0.07,0.07
Amar Dedić,fr Ligue 1,ba BIH,21.0,DF,Marseille,0.0,0.29,0.26,0.25
Liam Delap,eng Premier League,eng ENG,21.0,FW,Ipswich Town,0.42,0.07,0.32,0.07
Ali Dembélé,it Serie A,fr FRA,20.0,DF,Torino,0.23,0.0,0.08,0.02
Justin Devenny,eng Premier League,nir NIR,20.0,MF,Crystal Palace,0.18,0.18,0.14,0.11
Mamadou Diakhon,fr Ligue 1,fr FRA,18.0,"FW,MF",Reims,0.21,0.1,0.11,0.12
Oumar Diakité,fr Ligue 1,ci CIV,20.0,FW,Reims,0.22,0.06,0.3,0.06
Assane Diao,it Serie A,sn SEN,18.0,"FW,MF",Como,0.58,0.07,0.29,0.03
Assane Diao,es La Liga,sn SEN,18.0,FW,Betis,0.32,0.65,0.26,0.5
Habib Diarra,fr Ligue 1,sn SEN,20.0,"MF,FW",Strasbourg,0.15,0.19,0.13,0.17
Mahamadou Diawara,fr Ligue 1,fr FRA,19.0,MF,Le Havre,0.0,0.15,0.06,0.06
Mahamadou Diawara,fr Ligue 1,fr FRA,19.0,MF,Lyon,0.0,0.0,0.0,0.0
Daniel Díaz,es La Liga,es ESP,18.0,MF,Real Sociedad,0.0,0.0,0.0,0.0
Tyler Dibling,eng Premier League,eng ENG,18.0,"FW,MF",Southampton,0.1,0.0,0.12,0.07
Justin Diehl,de Bundesliga,de GER,19.0,"FW,DF",Stuttgart,0.87,0.0,0.84,0.1
Kembo Diliwidi,fr Ligue 1,fr FRA,18.0,DF,Lens,0.0,0.0,0.0,0.0
Yan Diomandé,es La Liga,ci CIV,17.0,"MF,FW",Leganés,0.33,0.17,0.24,0.14
Sérigné Diop,fr Ligue 1,sn SEN,19.0,FW,Brest,0.0,0.0,0.0,0.0
Andy Diouf,fr Ligue 1,fr FRA,21.0,MF,Lens,0.04,0.08,0.12,0.11
Roman Dixon,eng Premier League,eng ENG,19.0,DF,Everton,0.0,0.0,0.0,0.0
Nasser Djiga,eng Premier League,bf BFA,21.0,DF,Wolves,0.0,0.0,0.0,0.0
Marc Domenech,es La Liga,es ESP,18.0,"FW,MF",Mallorca,0.0,0.0,0.22,0.06
Benjamín Domínguez,it Serie A,ar ARG,20.0,FW,Bologna,0.21,0.14,0.16,0.06
Israel Domínguez,es La Liga,es ESP,21.0,FW,Sevilla,0.0,0.0,0.0,0.0
Sergi Dominguez,es La Liga,es ESP,19.0,DF,Barcelona,0.0,0.0,0.0,0.0
Patrick Dorgu,eng Premier League,dk DEN,19.0,DF,Manchester Utd,0.0,0.0,0.05,0.08
Patrick Dorgu,it Serie A,dk DEN,19.0,"DF,FW",Lecce,0.15,0.05,0.16,0.07
Alfie Dorrington,eng Premier League,eng ENG,19.0,DF,Tottenham,0.0,0.0,0.0,0.0
